R,TB,BEL,20090523,1,D,Allowance Optional Claiming,45000,FOR THREE YEAR OLDS AND UPWARD FOALED IN NEW YORK STATE AND APPROVED BY THE NEW YORK STATE-BRED REGISTRY WHICH HAVE NEVER WON ,"TWO RACES OTHER THAN MAIDEN, CLAIMING, OR STARTER OR WHICH HAVE NEVER WON THREE RACES OR OPTIONAL CLAIMING PRICE OF $25,000. ","Three Year Olds, 119 lbs.; Older, 124 lbs. Non-winners of $26,000 since March 23 Allowed 2 lbs. Non-winners Of A Race Allowed ","3 lbs. (Races where entered for $20,000 or less not considered in allowances).",3U SNW2X,650,F, ,D,104,FT,Clear,5,1:01,-7,23.26,46.07,69.82,0,0,76.01,68,76,104,76.57,27000,9000,4500,2250,1350,900,0,0,0,0,2 Exacta, 2-4,79,220595,2 Trifecta, 2-4-6,240.5,161073,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0
H,BEL,20090523,1,D,07May09  7BEL 6,TB,Platinum Couple,121,6,H,Lb,J L Espinoza,14.8,1,1,25000,4,5,6,5,4.6,0,0,0,0,5,9,5,13.8,5,0,76,Lostritto Joseph A,Team Tristar Stable,"PLATINUM COUPLE outrun, swung 5wide, no rally",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,1,D,16May09  1BEL 4,TB,Freddy the Cap,121,7,H,Lb,S   Morales,12.3,2,2,25000,3,2,1,2,1,0,0,0,0,2,1.5,1,0,1,0,104,Barrera Jr Oscar S,Sosa-Barrera,"FREDDY THE CAP pressed inside, waited turn, angled out, prevailed","Chestnut Horse; 2002; Precise End-Farma Speech (Farma Way) Bred By:Sez Who Thoroughbreds, Inc. (New York)",26.6,8.9,4.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,1,D,03May09  6BEL 1,TB,Matthew T C,122,4,G,Lb,A   Garcia,16.9,3,3,0,1,4,5,6,6.1,0,0,0,0,6,15,6,27.8,6,0,47,Persaud Randi,"C.P. Racing Stables, Bell, Peter, E. and Persaud, Randi","MATTHEW T C checked backstretch, done early",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,1,D,25Feb09  3AQU 1,TB,The Truffle Man,121,4,G,Lbf,R A Dominguez,1.45,4,4,0,2,1,0,1,0,0,0,0,0,1,0,2,1.3,2,0,101,Jacobson David,Jacobson Racing Stable,"THE TRUFFLE MAN sprinted clear, set pace, clear stretch, yielded",,0,3.1,2.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,1,D,15Apr09  7AQU 3,TB,Little Wise Guy,121,4,C,Lbf,R   Maragh,2.55,5,5,0,5,3,1.5,3,1.1,0,0,0,0,4,5.5,4,11.5,4,0,80,Barbara Robert,Fathernson Stable,"LITTLE WISE GUY broke in air, rushed up, pressed 3wide, tired",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,1,D,28Dec08  8AQU 7,TB,That'srightofficer,121,4,C,L,E S Prado,2.15,6,6,0,6,6,7,4,3.6,0,0,0,0,3,5,3,8,3,0,88,Schosberg Richard E,Clear Stars Stable,"THAT'SRIGHTOFFICER reserved inside, swung 3wide, no late bid",,0,0,2.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,1,D,(18APR09  3AQU 1),TB,Revealer,0,0,,,,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,TB,BEL,20090523,2,D,Maiden Claiming,26000,"(UP TO $4,940 NYSBFOA) FOR MAIDENS, THREE YEARS OLD  AND UPWARD. Three Year Olds, 118 lbs.; Older, 123 lbs. Claiming Price ","$50,000, For Each $5,000 To $40,000 1 lb.",,,3U   ,700,F, ,D,87,FT,Clear,4,1:34,-7,23.95,47.22,71.29,0,0,83.75,49,60,93,84.85,15600,5200,2600,1300,780,174,174,172,0,0,2 Daily Double, 2-1,88.5,219808,2 Exacta, 1-3,30.6,318054,2 Quinella, 1-3,24,26032,2 Trifecta, 1-3-2,144.5,233739,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0
H,BEL,20090523,2,D,21Oct08  1MED 4,TB,Lion Kingdom,117,3,G,Lb,R A Dominguez,0.95,1,1,45000,8,3,1.5,3,2,0,0,0,0,3,2.1,3,2,3,0,89,Penna Jr Angel J,Castletop Stable,"LION KINGDOM broke slow, moved up rail, mild rally",,3.9,2.7,2.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,2,D,07May09  2BEL 3,TB,Dream Again,123,4,C,Lab,C H Velasquez,0.95,1A,5,50000,5,8,3.8,6,4.5,0,0,0,0,1,0,1,0,1,0,93,Penna Jr Angel J,Lazy F Ranch,"DREAM AGAIN firm rating, swung 4wide, prevailed",Chestnut Colt; 2005; Awesome Again-Classy Mirage (Storm Bird) Bred By:Peter E Blum & Gerry Dilger (Kentucky),3.9,2.7,2.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,2,D,28Mar09 12GP  5,TB,Dancing Luca,118,3,C,L,J   Lezcano,14.3,2,2,50000,7,5,2.6,7,4.6,0,0,0,0,4,3.6,4,4.3,4,0,84,Zito Nicholas P,J Men Stable,"DANCING LUCA broke slow, outrun inside, belatedly",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,2,D,17May09  7BEL 6,TB,Country Trick,118,3,G,Lb,E   Coa,10.2,3,3,50000,3,1,0,1,0,0,0,0,0,2,0.1,2,0.5,2,0,92,Stoklosa Richard L,Kaufman,"COUNTRY TRICK set pace inside, dug in, yielded grudgingly",,0,8,5.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,2,D,22Mar09 10GP  3,TB,Cantrushperfection,118,3,C,L,J   Castellano,4.8,4,4,50000,6,6,3.6,8,13.6,0,0,0,0,8,12.6,7,19.8,7,0,55,Jacobson David,Jacobson Racing Stable and Rev It Up Racing Stable,"CANTRUSHPERFECTION stumbled break, no threat",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,2,D,03Jul08 11CD  6,TB,Arcaro,123,4,C,Lf,R   Maragh,14,5,6,50000,4,2,1,5,3.5,0,0,0,0,6,7.6,6,12.3,6,0,69,Alexander Frank A,Dogwood Stable,"ARCARO pressed early, dropped back turn",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,2,D,02May09  7BEL 5,TB,Timber Cruise,123,4,C,Lb,M J Luzzi,3.1,6,7,50000,2,7,3.7,4,2.5,0,0,0,0,5,6.1,5,9,5,0,75,McGaughey III Claude R,"Janney, III","TIMBER CRUISE unhurried, gained 4wide, flattened out",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,2,D,,TB,Black Tundra,118,3,C,Lbf,J F Chavez,18,7,8,50000,1,4,1.6,2,1,0,0,0,0,7,10.6,8,19.9,8,0,55,Domino Carl J,Kinsman Stable,"BLACK TUNDRA 3wide move turn, gave way",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,TB,BEL,20090523,3,D,Claiming,38000,"FOR THREE YEAR OLDS AND UPWARD. Three Year Olds, 119 lbs.; Older, 123 lbs. Non-winners of two races since March 22 Allowed 2 ","lbs. A race since then Allowed 3 lbs. Claiming Price $30,000, For Each $5,000 To $20,000 1 lb. (Races Where Entered For ","$16,000 Or Less Not Considered).",,3U   ,700,F, ,D,113,FT,Clear,Good,2:05,-7,22.75,45.47,69.72,0,0,82.46,97,95,107,82.57,22800,7600,3800,1900,1140,760,0,0,0,0,2 Pick 3, 2-1-1,529,80611,2 Daily Double, 1-1,13,55703,2 Exacta, 1-2,27.2,268218,2 Trifecta, 1-2-3,82.5,169362,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,"MR. UNSTOPPABLE;30000;  Gumpster Stable LLC,Enrique Arroyo;",,0
H,BEL,20090523,3,D,18Apr09  6AQU 5,TB,Austin Laviva Baby,120,4,G,L,E S Prado,2.1,1,1,30000,3,4,2,4,1.2,0,0,0,0,2,0.5,1,0,1,0,107,Dutrow Jr Richard E,"Pompa, Jr.","AUSTIN LAVIVA BABY in hand on rail, angled 4wide, clear late",Bay Gelding; 2005; Lake Austin-Viva Diva (Cherokee Run) Bred By:Sunrise Stable South (Florida),6.2,3.3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,3,D,07May09  6BEL 3,TB,Mr. Unstoppable,120,5,H,Lb,R A Dominguez,3.85,2,2,30000,4,3,1.5,3,1.1,0,0,0,0,1,0,2,0.8,2,0,106,Jacobson David,Jacobson Racing Stable,"MR. UNSTOPPABLE traffic 1/2 pole, angled 3wide turn, led stretch, yielded late",,0,4.5,3.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,3,D,02May09  6BEL 2,TB,The Vin Man,120,5,G,Lb,C H Velasquez,5.7,3,3,30000,6,5,4,6,3.3,0,0,0,0,4,4.6,3,7,3,0,94,Schosberg Richard E,Mitre Box Stable,"THE VIN MAN bobbled break, swung 5wide, no threat",,0,0,3.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
